05 - 8604	22u - 8630	30u - 8620	30u - 3577
190 5002 5585	060 5000 1979	200 4000 0973	840 8612 5380
190 5002 3572	060 5000 2134	200 4000 1161	840 8676 9807
190 5002 5270	060 5000 2126	200 4000 0411	840 8676 9861
190 5002 5775	060 5000 2068	200 4000 0221	840 8612 5356
190 5002 3820	191 7142 9316	200 4000 0247	840 8676 9963
190 5003 4751	060 5000 2035	200 4000 1146	840 8677 0052
190 5002 8019	060 5000 1706	610 4404 9111	840 8677 0037
190 5003 7341	060 5000 1862	200 4000 1104	840 8677 0110
190 5003 4447	060 5000 2001	200 4000 1096	
190 5002 3127	060 5000 2167	200 4000 1021	
190 5002 4729	060 5000 1870	200 4000 1138	
190 5002 6302	060 5000 2183	200 4000 1997	
190 5002 3895	060 5000 1805	200 4000 2458	
190 5003 4959	060 5000 2696	200 4000 1732	
190 5003 5139	060 5000 2290	200 4000 0445	
190 5003 4645	060 5000 2159	200 4000 0932	
190 5002 8886	060 5000 2357	200 4000 2045	
190 5003 6921	060 5000 2662	610 4405 0374	
190 5002 1923	060 5000 2506		
190 5005 0997	060 5000 2423		
190 5002 9660	060 5000 2613		
190 5002 5874	060 5000 2464		
	060 5000 2399		
	060 5000 2340		
	060 5000 2522		
	060 5000 2670		
			
   21	   21	   18	   8
May.16			   68
